Hospital Name,Address,City,Phone,Pincode,State
A.U.S. Clinic & Lithotripsy Centre,"Arun Chambers, Tardeo, Mumbai-400034Tardeo",Mumbai,9123456789,400034,Maharashtra
A.V. Hospitals,"# 172, Solaiappan Street, Tondirepet (North Chennai) Near Maharani Theatre",Chennai,9123456789,600021,Tamilnadu
A.V.Da Costa Hospital,"No.P-602,Fatorda,Next To Fatorda Stadium,Salcete,",Margao,9123456789,403602,Goa
A.V.M. Hospital A.V.M.M. Associates (P) Ltd,"# 135, Palayamkottai Roadtuticorin",Tuticorin,9123456789,628003,Tamilnadu
Aabu Tayshete Memorial Hospital,"Behind Hotel Sahyadri Kankavlisindhudurga, Maharashtra.",Sindhudurga,9123456789,416602,Maharashtra
Aadhar Hospital,"Court Road,Chavatgalli",Belgaum,9123456789,590002,Karnataka
Aadithya Adhikari Hospital,"#417, Contour Road,3Rd Stage Gokulaum, Mysore-570002",Mysore,9123456789,570002,Karnataka
Aaditya Hospital,Main Chowk Vishrambag,Sangli,9123456789,416415,Maharashtra
Aadya Ent Hospital,"Shivam Complex, Janata Chamber, Saijpur Tower.",Ahmedabad,9123456789,380045,Gujarat
Aadya Eye Hospital,"Near Saijpur Tower, Janata Market.",Ahmedabad,9123456789,380045,Gujarat
Aagman Hospital,Madhav Vatika Raiya Road.,Rajkot,9123456789,360007,Gujarat
Aakar Hospital,"Virani School Chowk,Opp Punjab Bank,Ramkrishna Nagar Main Road,",Rajkot,9123456789,360002,Gujarat
Aakash Eye Hospital,"A 19-20,Suraksha Society,Near B.Ed.College,Visnagar,Shivmarket",Mehsana,9123456789,384315,Gujarat
Aakash Hospital,"90/43, Malviya Nagar, New Delhi",Delhi,9123456789,110017,Delhi
Aakash Hospital,"# 393/1, T.H. Road, (Annexe) 393/1, Tiruvottiyur.Tiruvallur",Chennai,9123456789,600019,Tamilnadu
Aakashdeep Hospital,"# 98, Sector-7, Koperkhairna,Navi Mumbai-400709.",Koparkhairane,9123456789,400709,Maharashtra
Aalok Ortho Care,"#8, Vidhyavihar Colony, Opp Hotel Fortune Lankmark, Usmanpura, Ahmedabad, Gujarat",Ahmedabad,9123456789,380014,Gujarat
Aarif Nursing Home,"Lakshmi Street,Near Income Tax Office",Vizag,9123456789,530020,Andhra Pradesh
Aarogya Hospital (A Unit Of Kastura Medicos Limited,"Plot No-Nh-1, Sec-6, Vaishali, Ghaziabad, Uttar Pradesh",Vaishali,9123456789,201010,Uttar Pradesh
Aarogyam Multispeciality Hospital,"1St Floor, Renuka Bldg, Appo Mangala High School, Above Bank, Maharashtra, Mumbaimumbai",Mumbai,9123456789,400603,Maharashtra
Aarthi Hospital,"60,Santhaipettai Street",Tirunelveli,9123456789,628502,Tamilnadu
Aarthy Eye Hospital,"#16, Sengunthapuram Main Road, Karur.",Karur,9123456789,639002,Tamilnadu
Aaruni Hospital Pvt Ltd,"Next To Holy Saint School,Kalawad Road",Rajkot,9123456789,360001,Gujarat
Aaryan Institute Of Medical Sciences,"Navanaka,Mandvi,Near Opp Sawmi Narayana Mandir",Kutch,9123456789,370465,Gujarat
Aasha Hospitals,"7-201,Court Road,Anantapur",Ananthapur,9123456789,515001,Andhra Pradesh
Aashirwad Hospital,"G-121, Oriental Villa, Sushant Lok-Iii, Sector-57.",Gurgaon,9123456789,125001,Haryana
Aashirwad Hospital,"Om Shraddha Tower, Above Tdcc Bank Pune Link Road, Tisgaon, Kalyan Est, Thane.",Thane,9123456789,421306,Maharashtra
Aashirwad Nursing Home,"Ashirwad, Swami Samarth Nagar, 2Nd Cross Lane, Lokhandwala Complex, Andheri West",Mumbai,9123456789,400053,Maharashtra
Aashirwad Nursing Home & Iccu,"A3, New Green Apartments,Tilak Chowk, Turel Pakhadi Roa",Mumbai,9123456789,400064,Maharashtra
Aashirwad Nursing Home (Heart And Diabetes Center),"A-29/3, Lions Enclave, Marble Block, Vikas Nagar, Uttam Nagar, New Delhi-110059",New Delhi,9123456789,110059,Delhi
Aashlok Nursing Home Pvt Ltd,"#25A, Block-Ab, Community Centre,Safdarjung Enclave, Newdelhi-110029",Delhi,9123456789,110029,Delhi
Aastha Eye Centre,"5-R/5 N.I.T, Near Neelam Petrol Pump, Faridabad-121001",Faridabad,9123456789,121001,Haryana
Aastha Hospital,"L-2/50, New Mahavir Nagar Outer Ring Road Near Janakpuri Dist Centre",Delhi,9123456789,110018,Delhi
Aastha Hospital,"No.104,New Krishna Housing Society,Near Dhuri Motors,Ambadi Road,Vasai(W),Thane,",Thane,9123456789,401202,Maharashtra
Aastha Hospital,Hospital Area Ulhasnagar -3Thane,Ulhasnagar,9123456789,421003,Maharashtra
Aastha Kidney & Multispecialty Hospital,"2-D-1, Sukhadia Nagar, Sri Ganganagar, Rajasthan",Sriganganagar,9123456789,335001,Rajasthan
Aayush Eye Clinic,"201, Coral Classic,20Th Road.",Mumbai,9123456789,400071,Maharashtra
Aayushmaan Hospital,Kiratpur Road,Bijnor,9123456789,246701,Uttar Pradesh
Aayushman The Family Hospital,"D.No.45/145A1,Venkataramana Colony",Kurnool,9123456789,518003,Andhra Pradesh
Abc Hospitals,"#16-1-13, Kgh To Beach Down, Opp. Coastal Battery, Maharanipeta, Visakhapatnam, Visakha, Andhrapradesh-530002",Visakhapatnam,9123456789,530002,Andhra Pradesh
Abdul Khadir Hospital,"Parakkai Road,Elankadai,Kottar",Nagercoil,9123456789,629002,Tamilnadu
Abha Nursing Home (P) Ltd,"10/503-B, Allengami, Kanpur",Kanpur,9123456789,208002,Uttar Pradesh
Abhaya Critical Care,"18-1-34, Opp. K.G.H. Gatemaharanipeta,",Vizag,9123456789,530002,Andhra Pradesh
Abhaya Emergency Centre Sri Hospitals,"79-1-4/1, J.N. Road",Rajamundry,9123456789,533103,Andhra Pradesh
Abhaya Eye Hospital,"#77,Bsk 3Rd Stage, 100Ft Ring Road,5Th Block.",Bangalore,9123456789,560085,Karnataka
Abhaya Hospital,"1-78D, Jainpeta, Belthangaby, Dakshina Kannada, Karnataka",Belthangady,9123456789,574214,Karnataka
Abhaya Hospital (Neuropsychiatry & Critical Care Hospital Pvt Ltd),"17, Dr.M.H.Mari Gowda Road,Wilson Garden,Bangalore",Bangalore,9123456789,560027,Karnataka
Abhaya- Bbc Children Hospital,"Hindi Maha Vidyalaya Complex, O.U. Road, Vidya Nagar.",Hyderabad,9123456789,500044,Andhra Pradesh
Abhi Sai Hospitals,"Doctor'S Colony,Miryalguda",Miryalaguda,9123456789,508207,Andhra Pradesh
Abhijay Hospital (P) Ltd.,"No.22/2, E.S.I Hospital Road,Peravallur,",Chennai,9123456789,600011,Tamilnadu
Abhijit Hospital,Divya Trusha Mamlatdar Wadiroad Malad (West),Mumbai,9123456789,400064,Maharashtra
Abhilash Hospital & Sara Rehabilitation Centre,"#271, 1Ooft Ring Road, 5Th Block,3Rd Phase, 3Rd Stage,Banashankri.",Bangalore,9123456789,560085,Karnataka
Abhilasha Hospital,House No 201 Sector 35 A,Chandigarh,9123456789,160022,Punjab
Abhinandan Hospital,"0/60, Doctors Colony, Kankar Baga",Patna,9123456789,800020,Bihar
Abhinav Drishti Eye Hospital,"B-719, Sector-C, Mahanagar Lucknow",Lucknow,9123456789,226006,Uttar Pradesh
Abhinav Multispeciality Hospital,"Naya Nakasha, Lashkari Bagh.",Nagpur,9123456789,440017,Maharashtra
Abhiram Institute Of Medical Sciences,"Opp Aps Rtc Depot, Atmakur, Nellore",Nellore,9123456789,524322,Andhra Pradesh
Abhishek Nethradhama,"Mosque Complex, Opp Rajkamar Talkies, Fort Road,",Bangalore,9123456789,561203,Karnataka
Abhishek Nursing Home (L.P.Diagnostics Pvt. Ltd.),"Jagruti Co-Op.Soci Bhatwadi,Ghatkopm- (W), Mumbai - 400084Near Maratha Mandir,Co-Op Bank",Mumbai,9123456789,400084,Maharashtra
Abinand Hospital,"237-F/7, Pollachi Main Road,Sundarapuram, Coimbatore",Coimbatore,9123456789,641024,Tamilnadu
Abiraami Hospital,"24-Alc,Campus,Manjakuppam",Cuddalore,9123456789,607001,Tamilnadu
Acchutha Eye Care,"#H-3, Evn Road, Permar Nagar, Near Surampatti Nall Road, Erode-638009",Erode,9123456789,638009,Tamilnadu
Accident Fracture And Orthopedic Hospital,"Near Green Park Dunetha Road , Nani Daman, Gandhinagar, Gujarat-382010",Gandhinagar,9123456789,382010,Gujarat
Ace Heart & Vascular Institute. (A Unit Of Prime Cardiac Care Pvt. Ltd.),"Sector-69,Shivalik Hospital",Mohali,9123456789,160055,Punjab
Acharya Shri Chander College Of Medical Sciences & Hospital,"P.B # 5, Hpo Gandhi Nagar,Jammu-180017.",Jammu,9123456789,180017,Jammu & Kashmir
Acharya Tulsi Jain Hospital,"Mom(M)W6-P-6,#22/2-1,6Th Cross,K.N Extension",Bangalore,9123456789,560022,Karnataka
Acharya Vinoba Bhave Rural Hospital,"Yavatmal Road,Sawangi (Meghe)Wardha-442004.",Wardha,9123456789,442004,Maharashtra
Achyut Pandit Hospital,"Kumbeswar Temple Road,Kumta",Karwar,9123456789,581343,Karnataka
Action Cancer Hospital,"H-2/Fc-34,A4 Pashim Vihar",Delhi,9123456789,110063,Delhi
Acura Health Care Pvt Ltd,"#435,18Th Main,Koramangala 6Th Block(Near Ndoor Stadium)",Bangalore,9123456789,560095,Karnataka
Adarsh Hospital,"86-26-5, V.L. Puram Jn, M.S. Narayana Street, Rajahmundry-533107",Eastgodavari,9123456789,533103,Andhra Pradesh
Adarsh Hospital,"16-23, Suryakiran Appartments,Ghoddod Road, Surat-395007.",Surat,9123456789,395007,Gujarat
Adarsh Hospital,"Meenakshi Apartments,C - Wing, 1St Floor, Marve Road,Maladmalad (W)",Mumbai,9123456789,400064,Maharashtra
Adarsh Hospital,"Sn 11/12,Kondhwa Budruk,Near Katraj Khondwa Road,Near Kaveri Apartments",Pune,9123456789,411048,Maharashtra
Adarsh Nursing Home,"Gopalswamy Road,Gandhinagar",Bellary,9123456789,583103,Karnataka
Adarsha Hospital,"# 274/Vi, N.H. # 17, Kundapura, Udapi-576201Udupi- 576201",Kundapur,9123456789,576201,Karnataka
Adarsha Hospital Udupi,"Near K.S.R.T.C Bus Stand, Udupi",Udupi,9123456789,576101,Karnataka
Adarsha Nethralayam,"9-5-53, Mandibazar, Warangal, A.P",Warangal,9123456789,506002,Andhra Pradesh
Adarsha Nursing Home,Sharadadevi Nagaropp Mg Stadium,Tumkur,9123456789,572103,Karnataka
Adavally Damodar Reddy Memorial Hospital,"3-97, Sharadanagar, Ramanthapur,Ranfa Reddy.",Himayatnagar,9123456789,500013,Andhra Pradesh
Add Hospital Pvt Ltd,Junus Patna College Square,Cuttack,9123456789,753003,Orissa
Adesh Hospital & Research Centre,Kotkapura Road Sri Muktsar Sahibmuktsar,Muktsar,9123456789,152026,Punjab
Adichunchanagiri Hospital & Research,"Balagangadharanatha Nagara, Nagamangala Taluk, Mandya Dist, Mandya-571448Nagamangala Taluk, Mandya Dist",Mandya,9123456789,571448,Karnataka
Adilakshmi Nursing Home,"G.B.C. Raod, Ponnur.",Guntur,9123456789,522124,Andhra Pradesh
Adinath Hospital,Plot No 330 Gyan Khand 1 Indirapuram Ghaziabad,Ghaziabad,9123456789,201010,Uttar Pradesh
Adithi Maternity And General Nursing Home,"#78,Omkarnagar, B.G. Road.",Bangalore,9123456789,560076,Karnataka
Adithya Nursing Home,57 Opp Junior College Ramanagaram,Ramanagaram,9123456789,571511,Karnataka
Adithya Speciality Hospital,"277, G.S.T Main Road, Near Harveypatty Bus Stop, Thirunagar, Madurai - 625006",Madurai,9123456789,625006,Tamilnadu
Aditi Hosptial,"Gandhi Square Newpet,Anekal",Bangalore,9123456789,562106,Karnataka
Aditi Medical Centre,"Sector-4, Plot No-117, Near Ramlila Ground.",Ghaziabad,9123456789,201012,Uttar Pradesh
Adittya Eye Clinic,"M.G.Road, Ronik Apts, 1St Floor,Kandival(W)",Mumbai,9123456789,400067,Maharashtra
Aditya Care Hospital,"329/1929(P),Chandrasekharpur,Khurdha",Khurda,9123456789,751014,Orissa
Aditya Diagnostics & Hospitals (A Unit Of Dr. N. Sahewalla & Co Pvt. Ltd),"AMC Road, Bordoloi Avenue, Dibrugarl Dist, Assam-786005.",Dibrugarh,9123456789,786005,Assam
Aditya Eye Clinic And Contact Lens Centre,"Office # 1A,Kumar Plaza,M.G.Road,",Pune,9123456789,411001,Maharashtra
Aditya Eye Hospital,"Judge Mukku, Thrikkakara, Kochi-682021",Ernakulam,9123456789,682021,Kerala
Aditya Health Research Foundation (P) Ltd,"965, Jessore Road, Dumdum,Kolkata",Kolkata,9123456789,700055,West Bengal
Aditya Hospital,"#4-1-16, Boggulakunta, Tilak Road, Adids, Hyderbad-500001Abids",Hyderabad,9123456789,500001,Andhra Pradesh
Aditya Hospital,"No.7, Barnbay Road, Kilpauk, Chennai-600010",Chennai,9123456789,600010,Tamilnadu
Aditya Jyot Eye Hospital (P) Ltd.,"Plot # 153,Mojar Parmeshwaranroad (Opp) Siws Collage Gate #",Mumbai,9123456789,400031,Maharashtra
Aditya Medical Park (A Unit Of Aditya Health Research Foundation Pvt Ltd),"Taki Road, Kadambagachi, Barasat, 24 Parganas (N)Barasat-700124",Kolkata,9123456789,700124,West Bengal
Aditya Multi Care Hospital,"18-1-33, Opp. K.G.H.O.P Gate, Aditya Medical Complex, Vishkhapatnam-530002",Visakhapatnam,9123456789,530002,Andhra Pradesh
Aditya Multispeciality Hospital,"Opp: Police Parade Grounds,Hanamkanda,Kishanpura.",Warangal,9123456789,506001,Andhra Pradesh
Aditya Netralaya,"#244, 7Th Cross 6 Block 3 Puase 3Block Banashankari, Bangalore-560085",Bangalore,9123456789,560085,Karnataka
Aditya Nursing Home,"No.1/541-135,Aas College Road,Adoni,",Kurnool,9123456789,518302,Andhra Pradesh
Aditya Nursing Home,"#315, Usha Nagar Extension.",Indore,9123456789,452009,Madhya Pradesh
Aditya Orthopaedic & Trauma Centre,"Sri Shivakumar Swamy Circle, Bh Raod Tumkur-2",Tumkur,9123456789,572102,Karnataka
Aditya Orthopaedic Hospital,"#201,202,Aditya Plaza,Jodhpur Road,Satellite",Ahmedabad,9123456789,380015,Gujarat
Adityaj Hospital,"S.C.O.18,(F.F),Phase-1,S.A.S,Nagar",Mohali,9123456789,160055,Punjab
Adiva Hospital Pvt. Ltd.,C- 1/C Green Park Ext,Delhi,9123456789,110017,Delhi
Adr Hospital,"H.No. 4-112/1, Anand Bagh, Malkajgiri, Hyderabad-500047",Hyderabad,9123456789,500047,Andhra Pradesh
Advance Mother And Child Care Center,"#67, Kalgidhar Enclave, Near Shiv Mandir, Hdfc Bank, Baltana, Zirakpur, Mohali, Punjab",Mohali,9123456789,140604,Punjab
"Advanced Neurology & Superspeciality Hospital, Jaipur","D-358, Brain Tower, Malviyanagar, Jaipur-302017",Jaipur,9123456789,302017,Rajasthan
Adventist Wockardt Heart Hospital,24 Athwalines Surat,Surat,9123456789,395006,Gujarat
Adyar P.M. Hospital,"# 58, L.B. Road, Adyar, Chennai-600020Chennai",Chennai,9123456789,600020,Tamilnadu
Aeinullah Eye Hospital,"#90, Austin Town Layout, Near B.D.A Shopping Complex.",Bangalore,9123456789,560047,Karnataka
Agadi Hospital & Research Centre,"35, H Siddhaiah Road, Wilson Garden, Bangalore-560027Wilson Garden",Bangalore,9123456789,560017,Karnataka
Agarwal Maternity & General Hospital,"S/N.45/1,2 & 5,Sangarsh Chowk,Kharadi Road,Chandannagar,",Pune,9123456789,411014,Maharashtra
Agarwal Medical Centre,"E-234, Greater Kailash, Delhi-110048",Delhi,9123456789,110048,Delhi
Agarwal Nursing Home,"Salarpur Road, Kurukshetra, Haryana",Kurukshetra,9123456789,136118,Haryana
Agarwal Nursing Home,"4Th Floor,Shanti Centre, Plot # 8,Sec-17,Vashi,Navi Mumbai,Vashi, Navi Mumbai-400703",Mumbai,9123456789,400703,Maharashtra
Agash Nursing Home,"#234, G.S.T. Road, Chromepet",Chennai,9123456789,600044,Tamilnadu
Aggarwal Eye Hospital,"No.102/5,Ketayan Mansion,Shahaji Raje Marg,Koldongri,Andheri(E),Sahaje Raje Marg, Koldongri,",Mumbai,9123456789,400069,Maharashtra
Aggarwal Medical Centre,"Jiwan Nagar, Gaunchi, Sector-55. Haryana , Faridabad",Faridabad,9123456789,121004,Haryana
Aggarwal Nursing Home,"2528/192,Tri Nagar,Tota Ram Bazar",Delhi,9123456789,110035,Delhi
Agile Hospital Pvt. Ltd,"Tripura Road, Jayanagar Chariali, Guwahati, Kamrup, Assam, Opposite Sbi, Iibm Branch.",Guwahati,9123456789,781022,Assam
Agrawal Clinic Surgical & General Hospital With Icu,"49, Daftary Road, Malad (East), Mumbai, Maharashtra, Opp. Subhash Lane.",Mumbai,9123456789,400097,Maharashtra
Agrawal Eye Hospital,61 Shivaji Road Near Nas College,Meerut,9123456789,250001,Uttar Pradesh
Agrawal Eye Hospital,"1St Floor, Maharaja Apartment, Opp. Tel. Exchange, S.V. Road, Malad (West) Mumbai-400064",Mumbai,9123456789,400064,Maharashtra
Agrawal Eye Institute,"A-235,Shivalik,Malviya Nagar",Delhi,9123456789,110017,Delhi
Agrawal Hospital,"5Th Lane,First Floor,Kilachand Centre,Station Road",Patan,9123456789,384265,Gujarat
Agrawal Hospital,"E-3/15, Opp Habibganj Railway Stn, Arera Colony, Bopal,Mp-462016",Bhopal,9123456789,462016,Madhya Pradesh
Agrawal Hospital (A Unit Of Agrawal Institute Of Medical Sciences Pvt,"Near Rajkumar College, G.E. Road.",Raipur,9123456789,492001,Chattisgarh
Agrawal Nursing Home,"Bombay Market, St.Road, Bhayander West,Bhayander, Thane",Mumbai,9123456789,401104,Maharashtra
Ahalia Foundation Eye Hospital,"1/1053, Elappully.",Palakkad,9123456789,678557,Kerala
Ahalya Nursing Home,"Back Side Sivaayam Temple, Kothapet, Guntur, Andhra Pradesh-522002.",Guntur,9123456789,522002,Andhra Pradesh
Ahalyadevi Nursing Home,"16-1-712, Near Nehru State, Trunk Road.",Nellore,9123456789,524003,Andhra Pradesh
Ahirkar Hospital,"Near Ratan Cinema Narpoli,Bhiwandi,Thane",Bhiwandi,9123456789,421302,Maharashtra
Ahmed Hospital,"Sector-15,Part-2.",Gurgaon,9123456789,122001,Haryana
Ahmed Hospitals,"Gulshan Nagar,Byepass,Nowgam",Srinagar,9123456789,190008,Jammu & Kashmir
Ahooja Eye & Dental Institute,"560/1, Dayanand Coloney, New Railway Road",Gurgaon,9123456789,122001,Haryana
Ahuja Nursing Home & Polyclinic,"Furniture Bazar,Ulhas Nagar,Dass Chambers,1St Floor",Ulhasnagar,9123456789,421002,Maharashtra
Aisha Memorial Hospital (Tsunami Project Only),"Paruthikuzhy, Manacaud",Manacaud,9123456789,695009,Kerala
Ajani Hospital,"Sidharaj Jaysingh Marg, Sidhpur",Patan,9123456789,384151,Gujarat
Ajanta Hospital & Ivf Centre Pvt Ltd,"#765, Near Krishna Cinema, Kanpur Road, Alambagh.",Lucknow,9123456789,226005,Uttar Pradesh
Ajay Hospital,"Bhopal Vihar, Garh Road, (Near -Radha Govind Engineering College), Meerut, Uttar Pradesh",Meerut,9123456789,250004,Uttar Pradesh
Ajay Medical Centre,Near Bus Stand Chellakere,Chellakere,9123456789,577522,Karnataka
Ajay Pratima Hospital,"57, Brijlok, Near Prem Nagar Dharam Kanta Bareilly",Bareilly,9123456789,243005,Uttar Pradesh
Ajit Surgical & Maternity Home,"Chikkodi Road,Raibag",Belgaum,9123456789,591317,Karnataka
Ajmer Hospital,"# 158/X,Civil Lanes, Ajmer-305006.",Ajmer,9123456789,305006,Rajasthan
Ajwani Eye Hospital Pvt. Ltd.,"# 115, Berasia Road, Bh0Pal Sindhi Colony, Bhopal-462018",Bhopal,9123456789,462018,Madhya Pradesh
Ak Hospital,"360 Poonamallee High Road,Junction Of Ph Rd &",Chennai,9123456789,600029,Tamilnadu
Akanksha Maternity & Surgical Hospital,"6, Manish Tower, Manish Nagar, J P Road, Ahdheri(W)J.P. Road, Andheri (W)",Mumbai,9123456789,400053,Maharashtra
Akansha Orthopedic Centre,"5-A-2, Vigyan Nagar.",Kota,9123456789,324005,Rajasthan
Akar Hospital,"Ramkrishna Nagar Main Road, Virani School Chowk.",Rajkot,9123456789,360002,Gujarat
Akilesh Orthopaedics Hospitals,"95-97, Sasthiri Road, Rammagar.",Coimbatore,9123456789,641009,Tamilnadu
Akira Eye Hospital,"Aryapuram,Rajahmundry",Eastgodavari,9123456789,533104,Andhra Pradesh
Akshar Eye Hospital,"Kandhari Apartment, Opp S.T. Work Shop,Patia, Naroda Road.",Ahmedabad,9123456789,382340,Gujarat
Akshar Surgical Hospital,"2Nd Floor, Vidita Avenue, Near Jayhind,Char Rasta, Maninagar.",Ahmedabad,9123456789,380008,Gujarat
Akshardeep Orthopaedic Hospital,"2Nd Floor, Shubh Complex, Near Rajasthan Hospital, Shahibaugnr. Rajasthan Hospital,",Ahmedabad,9123456789,380004,Gujarat
Akshare Eye Foundation,"#6052 Railway Station Road,Opp Town Hall",Tumkur,9123456789,572102,Karnataka
Akshay Eye Clinic,"#842,Mahatma Gandhi Road,Panvel",Raigad,9123456789,410206,Maharashtra
Akshay Hospital,"M.P. Nagar,",Korba,9123456789,495681,Chattisgarh
Akshay Hospital,"2Nd Cross, Ashoknagar",Tumkur,9123456789,572102,Karnataka
Akshay Mallya Hospital,"Varthur Main Road,Marathalli",Bangalore,9123456789,560037,Karnataka
Akshay Medical Foundation,"204/G Ward,Mg Roadlonawala",Pune,9123456789,410401,Maharashtra
Akshaya Care Multi Speciality Hospital,"#11-3-267/13, Near Raghava Gardens, Madhura Nagar, Srinivasanagar, Parsigutta,",Secunderabad,9123456789,500061,Andhra Pradesh
Akshaya Heart Hospital,"Rishi Nagar, Char Imli, Opp Ekant Park.Bhopal, Madhya Pradesh",Bhopal,9123456789,462016,Madhya Pradesh
Akshaya Nethralaya,"#227/A,Vidyagiri Layout N Exit O Axis Bank Nagarbhavi Circle,Bangalore",Bangalore,9123456789,560072,Karnataka
Akshaya Nursing Home,"3Dr Cross Gowripet, Kolar",Kolar,9123456789,563101,Karnataka
Akshayjyot Eye Hospial,"Yashowardhan,Mutthe Layout.",Buldana,9123456789,443001,Maharashtra
Akshi Eye Care Centre,"2/344-A, Azad Nagar,Kanpur-200002.",Kanpur,9123456789,200002,Uttar Pradesh
Akshitha Hospitals,"H.No.11-32/6,Mahavir Enclave Phase-Ii,Shashabad",Shamshabad,9123456789,501218,Andhra Pradesh
Al Salama Eye Hospital,Arayidathu Palam Jn By Pass Road Kozhikode,Kozhicode,9123456789,673004,Kerala
Al Salama Eye Hospital Ltd,"55/5,Hospital Road,Perinthalmanna,Malapuram",Malapuram,9123456789,679322,Kerala
Al Shifa Hospital Pvt Ltd,"Pb No. 26, Ooty Road Perintalmannaooty Road",Malapuram,9123456789,679322,Kerala
Al-Arif Hospital,"Tc-48/659,Ambalathara,Poonthura Post,Near Milma Diary",Trivandrum,9123456789,695026,Kerala
Alam Hospital & Research Centre,"Booty Road, Bariatu.",Ranchi,9123456789,834009,Jharkhand
Alapati Nursing Home,"Gopalreddy Street, Ganganammapet.",Tenali,9123456789,522201,Andhra Pradesh
Alatkar Hospital,"Bhosale Garden,Opp 111 Bus Stop,Pune Solapur Road",Pune,9123456789,411028,Maharashtra
Alchemist Hospitals Ltd,"Sector 21,Near Main Market",Panchkula,9123456789,134112,Haryana
Alchemist Institute Of Medical Science,Sector 53 Saraswatikunj Dlf Golf Course Road Gurgaon,Gurgaon,9123456789,122001,Haryana
Alexander Eye Centre,"34/629A,A1,B,",Cochin,9123456789,682024,Kerala
Alhat Nursing Home,"Hira-Ratan Plaza,Pune Nashik Highway Pmt Chowk,Bhosari",Pune,9123456789,411039,Maharashtra
All Asia Medical Institute (A Unit Of Harsh Medical Centre Pvt Ltd).,8B Garcha First Lane,Kolkata,9123456789,700019,West Bengal
Alled Hospital Limited (Tsunami Project Only),"2/333,Guruvayoor Road,",Kunnamkulam,9123456789,680521,Kerala
Alliance Hospital,"C-20/1-73,Ramakant Nagar Colony, Varanasi, Uttar Pradesh",Varanasi,9123456789,221010,Uttar Pradesh
Alluri Sitarama Raju Academy Of Medical Sciences,"Malkapuram, Eluru Nh-5, Malkapuram.",Eluru,9123456789,534004,Andhra Pradesh
Almas Hospital,"Changuvetty,Kottakal,Malappuram,",Malapuram,9123456789,676503,Kerala
Alok Hospital,"1-A-5, Sheela Choudhary Road",Kota,9123456789,324005,Rajasthan
Alpha Ent Head And Neck Research Institute And Hospital,"Opp To Bsnl Tower,Deshabhimani Road,Kaloor,Ernakulam",Ernakulam,9123456789,682017,Kerala
Alpha Medical Services (Pvt) Ltd,"21/1, Dobson Road Howrahmaulana Abul Kalam Azad Rd",Kolkata,9123456789,711101,West Bengal
Alpha Medical Services Pvt Ltd,"#13, Lalalajpat Rai Sarani Elgin Road.",Kolkata,9123456789,700020,West Bengal
Alpha Super Speciality Hospital,"23-1-863. Bsides Mch Swimming Pool, Moghalpura.",Hyderabad,9123456789,500024,Andhra Pradesh
Alphonsa Hospital,"Chruch,Karukutty",Ernakulam,9123456789,683576,Kerala
